NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)
ACTG1P17	1	ACTG1P17
ACTG1P20	1	ACTG1P20
ACTG1P25	1	LOC148709
ACTG1P4	1	ACTG1P4
ACTG2	1	ACTG2
ACTL10	1	ACTL10
ACTL6A	1	ACTL6A
ACTMAP	1	C19orf54
ACTN1	1	ACTN1
ACTN3	1	ACTN3
ACTN4	1	ACTN4
ACTR10	1	ACTR10
ACTR1A	1	ACTR1A
ACTR1B	1	ACTR1B
ACTR2	1	ACTR2
ACTR3	1	ACTR3
ACTR3-AS1	1	ACTR3-AS1
ACTR3B	1	ACTR3B
ACTR3C	1	ACTR3C
ACTR5	1	ACTR5
ACTR6	1	ACTR6
ACTR8	1	ACTR8
ACTRT3	1	ACTRT3
ACVR1	1	ACVR1
ACVR1C	1	ACVR1C
ACVR2A	1	ACVR2A
ACVR2B	1	ACVR2B
ACVR2B-AS1	1	ACVR2B-AS1
ACVRL1	1	ACVRL1
ACY1	1	ACY1
ACYP1	1	ACYP1
ACYP2	1	ACYP2
ADA	1	ADA
ADA2	1	ADA2
ADAL	1	ADAL
ADAM10	1	ADAM10
ADAM11	1	ADAM11
ADAM12	1	ADAM12
ADAM15	1	ADAM15
ADAM17	1	ADAM17
ADAM19	1	ADAM19
ADAM1A	1	ADAM1A
ADAM20	1	ADAM20
ADAM20P1	1	ADAM20P1
ADAM21	1	ADAM21
ADAM22	1	ADAM22
ADAM23	1	ADAM23
ADAM28	1	ADAM28
ADAM32	1	ADAM32
ADAM33	1	ADAM33
ADAM8	1	ADAM8
ADAM9	1	ADAM9
ADAMTS1	1	ADAMTS1
ADAMTS10	1	ADAMTS10
ADAMTS12	1	ADAMTS12
ADAMTS13	1	ADAMTS13
ADAMTS14	1	ADAMTS14
ADAMTS15	1	ADAMTS15
ADAMTS2	1	ADAMTS2
ADAMTS3	1	ADAMTS3
ADAMTS4	1	ADAMTS4
ADAMTS5	1	ADAMTS5
ADAMTS6	1	ADAMTS6
ADAMTS7	1	ADAMTS7
ADAMTS9	1	ADAMTS9
ADAMTS9-AS2	1	ADAMTS9-AS2
ADAMTSL1	1	ADAMTSL1
ADAMTSL2	1	ADAMTSL2
ADAMTSL3	1	ADAMTSL3
ADAMTSL4	1	ADAMTSL4
ADAMTSL4-AS1	1	ADAMTSL4-AS1
ADAMTSL5	1	ADAMTSL5
ADAP1	1	ADAP1
ADAP2	1	ADAP2
ADAR	1	ADAR
ADARB1	1	ADARB1
ADAT1	1	ADAT1
ADAT2	1	ADAT2
ADAT3	1	ADAT3
ADCK1	1	ADCK1
ADCK2	1	ADCK2
ADCK5	1	ADCK5
ADCY1	1	ADCY1
ADCY10	1	ADCY10
ADCY10P1	1	ADCY10P1
ADCY3	1	ADCY3
ADCY4	1	ADCY4
ADCY5	1	ADCY5
ADCY6	1	ADCY6
ADCY7	1	ADCY7
ADCY8	1	ADCY8
ADCY9	1	ADCY9
ADD1	1	ADD1
ADD3	1	ADD3
ADD3-AS1	1	ADD3-AS1
ADGRA2	1	ADGRA2
ADGRA3	1	ADGRA3
ADGRD1	1	ADGRD1
ADGRE5	1	ADGRE5
ADGRF3	1	ADGRF3
ADGRG1	1	ADGRG1
ADGRG2	1	ADGRG2
ADGRG6	1	ADGRG6
ADGRL1	1	ADGRL1
ADGRL1-AS1	1	LOC100507373
ADGRL2	1	ADGRL2
ADGRL4	1	ADGRL4
ADH1A	1	ADH1A
ADH1B	1	ADH1B
ADH1C	1	ADH1C
ADH5	1	ADH5
ADHFE1	1	ADHFE1
ADI1	1	ADI1
ADIPOR1	1	ADIPOR1
ADIPOR2	1	ADIPOR2
ADIRF	1	ADIRF
ADISSP	1	C20orf27
ADK	1	ADK
ADM	1	ADM
ADM2	1	ADM2
ADM5	1	ADM5
ADNP	1	ADNP
ADNP-AS1	1	ADNP-AS1
ADO	1	ADO
ADORA1	1	ADORA1
ADORA2A	1	ADORA2A
ADORA2B	1	ADORA2B
ADPGK	1	ADPGK
ADPRH	1	ADPRH
ADPRM	1	ADPRM
ADPRS	1	ADPRHL2
ADRA1B	1	ADRA1B
ADRA2A	1	ADRA2A
ADRA2C	1	ADRA2C
ADRB2	1	ADRB2
ADRM1	1	ADRM1
ADSL	1	ADSL
ADSS1	1	ADSSL1
ADSS2	1	ADSS
ADTRP	1	ADTRP
AEBP1	1	AEBP1
AEBP2	1	AEBP2
AEN	1	AEN
AFAP1	1	AFAP1
AFAP1-AS1	1	AFAP1-AS1
AFAP1L1	1	AFAP1L1
AFAP1L2	1	AFAP1L2
AFDN	1	AFDN
AFDN-DT	1	AFDN-DT
AFF1	1	AFF1
AFF3	1	AFF3
AFG1L	1	AFG1L
AFG3L1P	1	AFG3L1P
AFG3L2	1	AFG3L2
AFMID	1	AFMID
AFP	1	AFP
AFTPH	1	AFTPH
AFTPH-DT	1	LOC101927402
AGA	1	AGA
AGAP1	1	AGAP1
AGAP11	1	AGAP11
AGAP12P	1	AGAP12P
AGAP2	1	AGAP2
AGAP2-AS1	1	AGAP2-AS1
AGAP3	1	AGAP3
AGAP4	1	AGAP4
AGAP5	1	AGAP5
AGAP6	1	AGAP6
AGAP7P	1	AGAP7P
AGBL2	1	AGBL2
AGBL3	1	AGBL3
AGBL5	1	AGBL5
AGFG1	1	AGFG1
AGFG2	1	AGFG2
AGGF1	1	AGGF1
AGK	1	AGK
AGL	1	AGL
AGMAT	1	AGMAT
AGMO	1	AGMO
AGO1	1	AGO1
AGO2	1	AGO2
AGO3	1	AGO3
AGO4	1	AGO4
AGPAT1	1	AGPAT1
AGPAT2	1	AGPAT2
AGPAT3	1	AGPAT3
AGPAT4	1	AGPAT4
